Episode 303: Seed=854658; Reward = 10
Episode 304: Seed=956897; Reward = 10
Episode 305: Seed=117748; Reward = 10
Episode 306: Seed=189361; Reward = 9
Episode 307: Seed=607304; Reward = -20
Episode 308: Seed=864494; Reward = -68
Episode 309: Seed=250155; Reward = 10
Episode 310: Seed=990262; Reward = 4
Episode 311: Seed=744223; Reward = 10
Episode 312: Seed=196436; Reward = 10
Episode 313: Seed=189804; Reward = 10
Episode 314: Seed=738883; Reward = 10
Episode 315: Seed=395935; Reward = -29
Episode 316: Seed=33690; Reward = -9
Episode 317: Seed=98211; Reward = 10
Episode 318: Seed=276564; Reward = 10
Episode 319: Seed=192276; Reward = 10
Episode 320: Seed=600147; Reward = 10
Episode 321: Seed=115672; Reward = 10
Episode 322: Seed=595383; Reward = 8
Episode 323: Seed=589605; Reward = 10
Episode 324: Seed=544940; Reward = 10
Episode 325: Seed=855775; Reward = 9
Episode 326: Seed=896416; Reward = -22
Episode 327: Seed=397776; Reward = 10
Episode 328: Seed=767745; Reward = 10
Episode 329: Seed=874716; Reward = 10
Episode 330: Seed=835605; Reward = -250
Episode 331: Seed=377632; Reward = 10
Episode 332: Seed=480470; Reward = -75
Episode 333: Seed=850862; Reward = 10
Episode 334: Seed=926323; Reward = 8
Episode 335: Seed=374524; Reward = 10
Episode 336: Seed=131124; Reward = 9
Episode 337: Seed=56155; Reward = -1
Episode 338: Seed=357486; Reward = 10
Episode 339: Seed=206115; Reward = 10
Episode 340: Seed=619231; Reward = 9
Episode 341: Seed=725728; Reward = 9
Episode 342: Seed=822993; Reward = -269
Episode 343: Seed=444504; Reward = 10
Episode 344: Seed=900865; Reward = -4
Episode 345: Seed=82898; Reward = 6
Episode 346: Seed=211369; Reward = 10
Episode 347: Seed=388277; Reward = 3
Episode 348: Seed=410724; Reward = 10
Episode 349: Seed=579814; Reward = -179
Episode 350: Seed=28446; Reward = 10
Episode 351: Seed=500835; Reward = -82
Episode 352: Seed=164613; Reward = -16
Episode 353: Seed=782303; Reward = 9
Episode 354: Seed=469708; Reward = 10
Episode 355: Seed=846982; Reward = 10
Episode 356: Seed=36501; Reward = 10
Episode 357: Seed=390618; Reward = 10
Episode 358: Seed=881220; Reward = 5
Episode 359: Seed=500649; Reward = 9
Episode 360: Seed=309983; Reward = 10
Episode 361: Seed=596494; Reward = 10
Episode 362: Seed=957693; Reward = -175
Episode 363: Seed=902233; Reward = 10
Episode 364: Seed=392261; Reward = 10
Episode 365: Seed=314486; Reward = 10
Episode 366: Seed=232738; Reward = 10
Episode 367: Seed=919512; Reward = -15
Episode 368: Seed=440904; Reward = 10
Episode 369: Seed=684912; Reward = 10
Episode 370: Seed=491374; Reward = 10
Episode 371: Seed=648836; Reward = 10
Episode 372: Seed=999580; Reward = 1
Episode 373: Seed=821437; Reward = 10
Episode 374: Seed=371869; Reward = 10
Episode 375: Seed=792474; Reward = -82
Episode 376: Seed=419404; Reward = 10
Episode 377: Seed=673845; Reward = 10
Episode 378: Seed=941985; Reward = 6
Episode 379: Seed=91452; Reward = -16
Episode 380: Seed=376940; Reward = 10
Episode 381: Seed=317661; Reward = 10
Episode 382: Seed=272999; Reward = 5
Episode 383: Seed=357662; Reward = -11
Episode 384: Seed=981648; Reward = 10
Episode 385: Seed=974514; Reward = -32
Episode 386: Seed=833864; Reward = 10
Episode 387: Seed=907820; Reward = 9
Episode 388: Seed=274568; Reward = 10
Episode 389: Seed=959909; Reward = 10
Episode 390: Seed=107346; Reward = 10
Episode 391: Seed=787763; Reward = 10
Episode 392: Seed=91534; Reward = 10
Episode 393: Seed=792441; Reward = 10
Episode 394: Seed=406122; Reward = 10
Episode 395: Seed=78970; Reward = -94
Episode 396: Seed=156859; Reward = 10
Episode 397: Seed=901815; Reward = 10
Episode 398: Seed=573381; Reward = 10
Episode 399: Seed=134519; Reward = 8
Episode 400: Seed=529967; Reward = 10
Episode 401: Seed=494241; Reward = 10
Episode 402: Seed=829699; Reward = 10
Episode 403: Seed=443535; Reward = -67
Episode 404: Seed=599970; Reward = 10
Episode 405: Seed=643864; Reward = 9
Episode 406: Seed=339623; Reward = 10
Episode 407: Seed=993522; Reward = 10
Episode 408: Seed=170001; Reward = 10
Episode 409: Seed=464535; Reward = 1
Episode 410: Seed=815477; Reward = 10
Episode 411: Seed=105601; Reward = 9
Episode 412: Seed=415140; Reward = 10
Episode 413: Seed=670736; Reward = 10
Episode 414: Seed=596997; Reward = 10
Episode 415: Seed=708232; Reward = 10
Episode 416: Seed=691602; Reward = 8
Episode 417: Seed=208223; Reward = 10
Episode 418: Seed=343169; Reward = 10
Episode 419: Seed=2799; Reward = -6
Episode 420: Seed=545162; Reward = 8
Episode 421: Seed=299983; Reward = 10
Episode 422: Seed=448306; Reward = 10
Episode 423: Seed=570774; Reward = 10
Episode 424: Seed=556059; Reward = 10
Episode 425: Seed=966461; Reward = 10
Episode 426: Seed=769811; Reward = 10
Episode 427: Seed=355344; Reward = 10
Episode 428: Seed=560763; Reward = 10
Episode 429: Seed=621367; Reward = 10
Episode 430: Seed=585564; Reward = 10
Episode 431: Seed=275183; Reward = 10
Episode 432: Seed=771325; Reward = -3
Episode 433: Seed=58834; Reward = 10
Episode 434: Seed=997517; Reward = 10
Episode 435: Seed=55094; Reward = 10
Episode 436: Seed=352764; Reward = -174
Episode 437: Seed=282350; Reward = 6
Episode 438: Seed=334741; Reward = 10
Episode 439: Seed=485638; Reward = 10
Episode 440: Seed=687058; Reward = 10
Episode 441: Seed=946371; Reward = 10
Episode 442: Seed=828988; Reward = 10
Episode 443: Seed=42551; Reward = -82
Episode 444: Seed=40734; Reward = 10
Episode 445: Seed=404160; Reward = 10
Episode 446: Seed=671754; Reward = 10
Episode 447: Seed=881693; Reward = 10
Episode 448: Seed=202066; Reward = 10
Episode 449: Seed=443531; Reward = 10
Episode 450: Seed=754087; Reward = 10
Episode 451: Seed=261231; Reward = 10
Episode 452: Seed=628660; Reward = 10
Episode 453: Seed=526210; Reward = -51
Episode 454: Seed=769081; Reward = 10
Episode 455: Seed=576352; Reward = 9
Episode 456: Seed=562213; Reward = 10
Episode 457: Seed=439400; Reward = 10
Episode 458: Seed=489526; Reward = 10
Episode 459: Seed=975369; Reward = 10
Episode 460: Seed=258850; Reward = 10
Episode 461: Seed=352537; Reward = 10
Episode 462: Seed=126192; Reward = 10
Episode 463: Seed=929385; Reward = 10
Episode 464: Seed=676586; Reward = 10
Episode 465: Seed=99883; Reward = 10
Episode 466: Seed=569631; Reward = 8
Episode 467: Seed=631895; Reward = 10
Episode 468: Seed=218654; Reward = 10
Episode 469: Seed=23020; Reward = 10
Episode 470: Seed=703947; Reward = 10
Episode 471: Seed=526261; Reward = 10
Episode 472: Seed=654292; Reward = 10
Episode 473: Seed=934621; Reward = -4
Episode 474: Seed=272; Reward = 10
Episode 475: Seed=595357; Reward = 10
Episode 476: Seed=454169; Reward = 10
Episode 477: Seed=280170; Reward = 10
Episode 478: Seed=326104; Reward = 10
Episode 479: Seed=993777; Reward = 10
Episode 480: Seed=815361; Reward = 10
Episode 481: Seed=741380; Reward = 10
Episode 482: Seed=881654; Reward = 3
Episode 483: Seed=458326; Reward = 10
Episode 484: Seed=926453; Reward = 10
Episode 485: Seed=145576; Reward = 10
Episode 486: Seed=753960; Reward = 10
Episode 487: Seed=282631; Reward = 10
Episode 488: Seed=818874; Reward = 10
Episode 489: Seed=651520; Reward = 10
Episode 490: Seed=345358; Reward = 10
Episode 491: Seed=352054; Reward = 10
Episode 492: Seed=153368; Reward = -7
Episode 493: Seed=915352; Reward = 10
Episode 494: Seed=136185; Reward = 10
Episode 495: Seed=739185; Reward = 10
Episode 496: Seed=994899; Reward = 10
Episode 497: Seed=220283; Reward = 10
Episode 498: Seed=801279; Reward = -15
Episode 499: Seed=15164; Reward = -12
Episode 500: Seed=976901; Reward = 9
Episode 501: Seed=577222; Reward = 10
Episode 502: Seed=447651; Reward = 2
Episode 503: Seed=233403; Reward = 10
Episode 504: Seed=552150; Reward = 10
Episode 505: Seed=459504; Reward = 10
Episode 506: Seed=363658; Reward = -51
Episode 507: Seed=140095; Reward = 10
Episode 508: Seed=539727; Reward = 9
Episode 509: Seed=622329; Reward = 10
Episode 510: Seed=609705; Reward = 10
Episode 511: Seed=11392; Reward = 10
Episode 512: Seed=663089; Reward = 10
Episode 513: Seed=758538; Reward = 10
Episode 514: Seed=296836; Reward = 10
Episode 515: Seed=788216; Reward = 10
Episode 516: Seed=265054; Reward = 10
Episode 517: Seed=707061; Reward = 6
Episode 518: Seed=443273; Reward = 10
Episode 519: Seed=711543; Reward = 10
Episode 520: Seed=707108; Reward = 10
Episode 521: Seed=639776; Reward = 10
Episode 522: Seed=915311; Reward = 0
Episode 523: Seed=472205; Reward = 10
Episode 524: Seed=254392; Reward = 10
Episode 525: Seed=579363; Reward = 2
Episode 526: Seed=387528; Reward = 10
Episode 527: Seed=672219; Reward = 7
Episode 528: Seed=830789; Reward = 10
Episode 529: Seed=894319; Reward = 10
Episode 530: Seed=432284; Reward = 10
Episode 531: Seed=947375; Reward = 10
Episode 532: Seed=355741; Reward = 10
Episode 533: Seed=404743; Reward = 10
Episode 534: Seed=889552; Reward = 10
Episode 535: Seed=175928; Reward = 10
Episode 536: Seed=758636; Reward = 10
Episode 537: Seed=52470; Reward = 10
Episode 538: Seed=470289; Reward = 10
Episode 539: Seed=549589; Reward = 10
Episode 540: Seed=914859; Reward = 10
Episode 541: Seed=599218; Reward = 10
Episode 542: Seed=520395; Reward = 10
Episode 543: Seed=112030; Reward = 10
Episode 544: Seed=137065; Reward = 10
Episode 545: Seed=535626; Reward = 10
Episode 546: Seed=328384; Reward = -29
Episode 547: Seed=127535; Reward = 10
Episode 548: Seed=560000; Reward = 10
Episode 549: Seed=402557; Reward = 10
Episode 550: Seed=539564; Reward = 10
Episode 551: Seed=143354; Reward = 10
Episode 552: Seed=10368; Reward = 10
Episode 553: Seed=290969; Reward = 10
Episode 554: Seed=709762; Reward = 10
Episode 555: Seed=706566; Reward = 10
Episode 556: Seed=161636; Reward = 10
Episode 557: Seed=779161; Reward = 10
Episode 558: Seed=409243; Reward = 7
Episode 559: Seed=929298; Reward = 10
Episode 560: Seed=41037; Reward = 10
Episode 561: Seed=885707; Reward = 10
Episode 562: Seed=557591; Reward = 9
Episode 563: Seed=484934; Reward = 10
Episode 564: Seed=91170; Reward = 1
Episode 565: Seed=651088; Reward = 10
Episode 566: Seed=973117; Reward = -41
Episode 567: Seed=178135; Reward = 10
Episode 568: Seed=986862; Reward = 10
Episode 569: Seed=863193; Reward = 10
Episode 570: Seed=10555; Reward = 10
Episode 571: Seed=794045; Reward = 10
Episode 572: Seed=740504; Reward = 10
Episode 573: Seed=288677; Reward = 10
Episode 574: Seed=62331; Reward = 10
Episode 575: Seed=359969; Reward = 10
Episode 576: Seed=356449; Reward = 10
Episode 577: Seed=576216; Reward = 10
Episode 578: Seed=611461; Reward = 10
Episode 579: Seed=444590; Reward = -45
Episode 580: Seed=999475; Reward = 10
Episode 581: Seed=762385; Reward = 9
Episode 582: Seed=24443; Reward = 10
Episode 583: Seed=992499; Reward = 10
Episode 584: Seed=901797; Reward = -1
Episode 585: Seed=720453; Reward = -263
Episode 586: Seed=104703; Reward = 10
Episode 587: Seed=688196; Reward = 10
Episode 588: Seed=87669; Reward = 10
Episode 589: Seed=635319; Reward = 10
Episode 590: Seed=324940; Reward = 10
Episode 591: Seed=267725; Reward = 10
Episode 592: Seed=684249; Reward = -45
Episode 593: Seed=531136; Reward = 10
Episode 594: Seed=589058; Reward = 10
Episode 595: Seed=47559; Reward = 10
Episode 596: Seed=521405; Reward = 9
Episode 597: Seed=282466; Reward = 10
Episode 598: Seed=534048; Reward = -14
Episode 599: Seed=22976; Reward = 10
Episode 600: Seed=853938; Reward = 6
Episode 601: Seed=210919; Reward = -73
Episode 602: Seed=855582; Reward = 10
Episode 603: Seed=963247; Reward = 10
Episode 604: Seed=499934; Reward = -47
Episode 605: Seed=693402; Reward = 10
Episode 606: Seed=263841; Reward = 10
Episode 607: Seed=828968; Reward = 10
Episode 608: Seed=46559; Reward = 10
Episode 609: Seed=889382; Reward = -418
Episode 610: Seed=678617; Reward = 10
Episode 611: Seed=959212; Reward = 4
Episode 612: Seed=678623; Reward = 10
Episode 613: Seed=525661; Reward = 10
Episode 614: Seed=370799; Reward = 10
Episode 615: Seed=98050; Reward = 6
Episode 616: Seed=699577; Reward = -550
Episode 617: Seed=362923; Reward = 2
Episode 618: Seed=465777; Reward = -548
Episode 619: Seed=355032; Reward = -784
Episode 620: Seed=415637; Reward = -296
Episode 621: Seed=643883; Reward = 10
Episode 622: Seed=326821; Reward = 10
Episode 623: Seed=248307; Reward = 9
Episode 624: Seed=942887; Reward = 10
Episode 625: Seed=706367; Reward = -26
Episode 626: Seed=455007; Reward = 10
Episode 627: Seed=78092; Reward = 9
Episode 628: Seed=531960; Reward = 10
Episode 629: Seed=790939; Reward = 5
Episode 630: Seed=284691; Reward = 10
Episode 631: Seed=604328; Reward = -121
Episode 632: Seed=685594; Reward = 10
Episode 633: Seed=651797; Reward = 10
Episode 634: Seed=281885; Reward = 10
Episode 635: Seed=55425; Reward = 10
Episode 636: Seed=894698; Reward = 10
Episode 637: Seed=891257; Reward = 10
Episode 638: Seed=44719; Reward = 10
Episode 639: Seed=86679; Reward = 10
Episode 640: Seed=601012; Reward = 10
Episode 641: Seed=440256; Reward = 10
Episode 642: Seed=331398; Reward = -67
Episode 643: Seed=82703; Reward = -10
Episode 644: Seed=986973; Reward = 10
Episode 645: Seed=728176; Reward = 10
Episode 646: Seed=137793; Reward = 10
Episode 647: Seed=563130; Reward = 10
Episode 648: Seed=502882; Reward = 10
Episode 649: Seed=954058; Reward = 10
Episode 650: Seed=135942; Reward = 10
Episode 651: Seed=684373; Reward = 5
Episode 652: Seed=451272; Reward = 10
Episode 653: Seed=288239; Reward = 9
Episode 654: Seed=326468; Reward = 10
Episode 655: Seed=735873; Reward = 10
Episode 656: Seed=530806; Reward = 5
Episode 657: Seed=138698; Reward = 10
Episode 658: Seed=800977; Reward = 9
Episode 659: Seed=8402; Reward = 10
Episode 660: Seed=945920; Reward = 10
Episode 661: Seed=791115; Reward = 10
Episode 662: Seed=315146; Reward = 10
Episode 663: Seed=354069; Reward = 10
Episode 664: Seed=372029; Reward = 10
Episode 665: Seed=985746; Reward = 10
Episode 666: Seed=437277; Reward = 10
Episode 667: Seed=830625; Reward = 10
Episode 668: Seed=158483; Reward = 10
Episode 669: Seed=214736; Reward = 10
Episode 670: Seed=259627; Reward = 10
Episode 671: Seed=202784; Reward = 10
Episode 672: Seed=87796; Reward = 10
Episode 673: Seed=306777; Reward = 10
Episode 674: Seed=123867; Reward = 9
Episode 675: Seed=243952; Reward = 10
Episode 676: Seed=839262; Reward = 10
Episode 677: Seed=506067; Reward = 10
Episode 678: Seed=544933; Reward = 10
Episode 679: Seed=742584; Reward = 10
Episode 680: Seed=832149; Reward = -395
Episode 681: Seed=836631; Reward = -418
Episode 682: Seed=426538; Reward = 7
Episode 683: Seed=467975; Reward = 10
Episode 684: Seed=26121; Reward = 10
Episode 685: Seed=494096; Reward = 10
Episode 686: Seed=203184; Reward = 10
Episode 687: Seed=154297; Reward = 10
Episode 688: Seed=199761; Reward = 10
Episode 689: Seed=303615; Reward = -313
Episode 690: Seed=726609; Reward = 10
Episode 691: Seed=431050; Reward = 10
Episode 692: Seed=116101; Reward = 10
Episode 693: Seed=949109; Reward = 10
Episode 694: Seed=790181; Reward = 10
Episode 695: Seed=793845; Reward = 10
Episode 696: Seed=225936; Reward = 10
Episode 697: Seed=466486; Reward = 10
Episode 698: Seed=680268; Reward = 10
Episode 699: Seed=322951; Reward = 10
Episode 700: Seed=546913; Reward = -7
