Episode 377: Seed=715107; Reward = 173; Floor=6
Episode 378: Seed=7099; Reward = 424; Floor=12
Episode 379: Seed=387943; Reward = 114; Floor=3
Episode 380: Seed=435323; Reward = 228; Floor=7
Episode 381: Seed=295810; Reward = 164; Floor=4
Episode 382: Seed=828233; Reward = 219; Floor=6
Episode 383: Seed=842163; Reward = 233; Floor=7
Episode 384: Seed=779209; Reward = 190; Floor=6
Episode 385: Seed=558101; Reward = 229; Floor=6
Episode 386: Seed=869901; Reward = 143; Floor=4
Episode 387: Seed=10999; Reward = 291; Floor=8
Episode 388: Seed=200846; Reward = 315; Floor=9
Episode 389: Seed=505707; Reward = 320; Floor=10
Episode 390: Seed=794778; Reward = 295; Floor=9
Episode 391: Seed=681567; Reward = 66; Floor=2
Episode 392: Seed=853655; Reward = 109; Floor=4
Episode 393: Seed=920504; Reward = 118; Floor=4
Episode 394: Seed=353884; Reward = 81; Floor=3
Episode 395: Seed=424392; Reward = 128; Floor=4
Episode 396: Seed=841009; Reward = 237; Floor=6
Episode 397: Seed=377202; Reward = 102; Floor=4
Episode 398: Seed=860427; Reward = 187; Floor=7
Episode 399: Seed=338444; Reward = 182; Floor=6
Episode 400: Seed=761776; Reward = 286; Floor=9
Episode 401: Seed=610248; Reward = 339; Floor=10
Episode 402: Seed=905656; Reward = 250; Floor=9
Episode 403: Seed=637591; Reward = 66; Floor=3
Episode 404: Seed=497667; Reward = 233; Floor=7
Episode 405: Seed=821721; Reward = 231; Floor=6
Episode 406: Seed=252187; Reward = 130; Floor=4
Episode 407: Seed=631302; Reward = 330; Floor=8
Episode 408: Seed=144173; Reward = 105; Floor=3
Episode 409: Seed=634519; Reward = 122; Floor=3
Episode 410: Seed=536446; Reward = 381; Floor=11
Episode 411: Seed=195932; Reward = 334; Floor=8
Episode 412: Seed=446171; Reward = 334; Floor=9
Episode 413: Seed=561249; Reward = 254; Floor=7
Episode 414: Seed=72419; Reward = 212; Floor=6
Episode 415: Seed=768140; Reward = 390; Floor=11
Episode 416: Seed=673977; Reward = 41; Floor=3
Episode 417: Seed=687963; Reward = 258; Floor=7
Episode 418: Seed=523464; Reward = 298; Floor=7
Episode 419: Seed=262753; Reward = 180; Floor=6
Episode 420: Seed=569278; Reward = 6; Floor=2
Episode 421: Seed=537729; Reward = 64; Floor=2
Episode 422: Seed=784752; Reward = -12; Floor=1
Episode 423: Seed=223145; Reward = 12; Floor=1
Episode 424: Seed=593471; Reward = 229; Floor=7
Episode 425: Seed=411497; Reward = 156; Floor=4
Episode 426: Seed=553245; Reward = 485; Floor=13
Episode 427: Seed=540274; Reward = 380; Floor=10
Episode 428: Seed=448176; Reward = 337; Floor=9
Episode 429: Seed=974104; Reward = 125; Floor=3
Episode 430: Seed=165058; Reward = 251; Floor=7
Episode 431: Seed=295579; Reward = 165; Floor=4
Episode 432: Seed=901736; Reward = 58; Floor=3
Episode 433: Seed=669962; Reward = 146; Floor=5
Episode 434: Seed=140118; Reward = 110; Floor=3
Episode 435: Seed=120961; Reward = 42; Floor=4
Episode 436: Seed=893070; Reward = 167; Floor=5
Episode 437: Seed=258669; Reward = 247; Floor=7
Episode 438: Seed=884697; Reward = 230; Floor=6
Episode 439: Seed=554420; Reward = 181; Floor=5
Episode 440: Seed=242824; Reward = 280; Floor=7
Episode 441: Seed=488589; Reward = 266; Floor=8
Episode 442: Seed=58045; Reward = 319; Floor=9
Episode 443: Seed=182668; Reward = 163; Floor=4
Episode 444: Seed=842860; Reward = 124; Floor=5
Episode 445: Seed=340930; Reward = 258; Floor=9
Episode 446: Seed=746844; Reward = 298; Floor=8
Episode 447: Seed=665758; Reward = 427; Floor=14
Episode 448: Seed=743891; Reward = 29; Floor=3
Episode 449: Seed=619600; Reward = 202; Floor=5
Episode 450: Seed=618834; Reward = 125; Floor=4
Episode 451: Seed=74560; Reward = 179; Floor=6
Episode 452: Seed=752030; Reward = 109; Floor=3
Episode 453: Seed=282789; Reward = 202; Floor=6
Episode 454: Seed=806040; Reward = 45; Floor=2
Episode 455: Seed=84416; Reward = 121; Floor=4
Episode 456: Seed=72575; Reward = 274; Floor=8
Episode 457: Seed=323087; Reward = 12; Floor=1
Episode 458: Seed=948989; Reward = 3; Floor=1
Episode 459: Seed=375151; Reward = 9; Floor=2
Episode 460: Seed=783744; Reward = 11; Floor=2
Episode 461: Seed=158747; Reward = 42; Floor=3
Episode 462: Seed=213812; Reward = 262; Floor=8
Episode 463: Seed=440402; Reward = 167; Floor=6
Episode 464: Seed=880859; Reward = 85; Floor=4
Episode 465: Seed=89949; Reward = 11; Floor=2
Episode 466: Seed=606957; Reward = 246; Floor=8
Episode 467: Seed=645569; Reward = 255; Floor=7
Episode 468: Seed=112967; Reward = 5; Floor=2
Episode 469: Seed=475492; Reward = 142; Floor=5
Episode 470: Seed=362802; Reward = 196; Floor=6
Episode 471: Seed=306226; Reward = 150; Floor=5
Episode 472: Seed=456830; Reward = 14; Floor=1
Episode 473: Seed=246615; Reward = 158; Floor=5
Episode 474: Seed=557391; Reward = 304; Floor=8
Episode 475: Seed=995194; Reward = 394; Floor=10
Episode 476: Seed=60433; Reward = 272; Floor=8
Episode 477: Seed=741648; Reward = 171; Floor=5
Episode 478: Seed=587689; Reward = 53; Floor=2
Episode 479: Seed=429826; Reward = 259; Floor=8
Episode 480: Seed=222356; Reward = 264; Floor=7
Episode 481: Seed=904936; Reward = 147; Floor=5
Episode 482: Seed=358086; Reward = 139; Floor=4
Episode 483: Seed=130086; Reward = 148; Floor=4
Episode 484: Seed=11635; Reward = 75; Floor=3
Episode 485: Seed=104783; Reward = 162; Floor=5
Episode 486: Seed=674336; Reward = 18; Floor=2
Episode 487: Seed=76043; Reward = 72; Floor=2
