Episode 224: Seed=625551; Reward = 191; Floor=4
Episode 225: Seed=689830; Reward = 85; Floor=3
Episode 226: Seed=795438; Reward = 244; Floor=6
Episode 227: Seed=55926; Reward = 117; Floor=3
Episode 228: Seed=912012; Reward = 189; Floor=4
Episode 229: Seed=410986; Reward = 159; Floor=4
Episode 230: Seed=349878; Reward = 199; Floor=4
Episode 231: Seed=190812; Reward = 326; Floor=7
Episode 232: Seed=518679; Reward = 85; Floor=2
Episode 233: Seed=262951; Reward = 204; Floor=5
Episode 234: Seed=419817; Reward = 27; Floor=1
Episode 235: Seed=547768; Reward = 65; Floor=2
Episode 236: Seed=971978; Reward = 92; Floor=2
Episode 237: Seed=749421; Reward = 202; Floor=5
Episode 238: Seed=189687; Reward = 348; Floor=8
Episode 239: Seed=260128; Reward = 77; Floor=2
Episode 240: Seed=730084; Reward = 316; Floor=8
Episode 241: Seed=65430; Reward = 224; Floor=6
Episode 242: Seed=386033; Reward = 139; Floor=3
Episode 243: Seed=659943; Reward = 100; Floor=3
Episode 244: Seed=252111; Reward = 46; Floor=2
Episode 245: Seed=62837; Reward = -19; Floor=1
Episode 246: Seed=43347; Reward = -34; Floor=1
Episode 247: Seed=235274; Reward = -4; Floor=2
Episode 248: Seed=737098; Reward = -36; Floor=1
Episode 249: Seed=595088; Reward = -36; Floor=1
Episode 250: Seed=931212; Reward = 4; Floor=2
Episode 251: Seed=232201; Reward = 51; Floor=2
Episode 252: Seed=264753; Reward = -19; Floor=1
Episode 253: Seed=557213; Reward = -24; Floor=1
Episode 254: Seed=993762; Reward = 12; Floor=1
Episode 255: Seed=562863; Reward = 0; Floor=1
Episode 256: Seed=832770; Reward = 7; Floor=1
Episode 257: Seed=224870; Reward = 10; Floor=1
Episode 258: Seed=640759; Reward = 58; Floor=2
Episode 259: Seed=32103; Reward = 87; Floor=3
Episode 260: Seed=856505; Reward = 136; Floor=4
Episode 261: Seed=166518; Reward = -15; Floor=1
Episode 262: Seed=444259; Reward = 93; Floor=3
Episode 263: Seed=203475; Reward = 24; Floor=2
Episode 264: Seed=949003; Reward = 88; Floor=4
Episode 265: Seed=539904; Reward = 120; Floor=3
Episode 266: Seed=850293; Reward = 312; Floor=6
Episode 267: Seed=37223; Reward = 157; Floor=4
Episode 268: Seed=744567; Reward = 286; Floor=8
Episode 269: Seed=118177; Reward = 283; Floor=7
Episode 270: Seed=761459; Reward = 618; Floor=15
Episode 271: Seed=848539; Reward = 302; Floor=7
Episode 272: Seed=698850; Reward = 242; Floor=6
Episode 273: Seed=19264; Reward = 30; Floor=1
Episode 274: Seed=48649; Reward = 27; Floor=1
Episode 275: Seed=387760; Reward = -19; Floor=1
Episode 276: Seed=912033; Reward = 192; Floor=5
Episode 277: Seed=714963; Reward = 67; Floor=2
Episode 278: Seed=228152; Reward = 65; Floor=2
Episode 279: Seed=320083; Reward = 275; Floor=6
Episode 280: Seed=312658; Reward = 82; Floor=2
Episode 281: Seed=256596; Reward = 316; Floor=8
Episode 282: Seed=842254; Reward = 70; Floor=2
Episode 283: Seed=543654; Reward = 213; Floor=6
Episode 284: Seed=935603; Reward = 71; Floor=2
Episode 285: Seed=557626; Reward = 118; Floor=3
Episode 286: Seed=21129; Reward = 272; Floor=6
Episode 287: Seed=632445; Reward = 170; Floor=4
Episode 288: Seed=50490; Reward = 435; Floor=10
Episode 289: Seed=363439; Reward = 27; Floor=1
Episode 290: Seed=116503; Reward = 201; Floor=5
Episode 291: Seed=534134; Reward = 165; Floor=4
Episode 292: Seed=724292; Reward = 32; Floor=1
Episode 293: Seed=128545; Reward = 40; Floor=2
Episode 294: Seed=93991; Reward = 194; Floor=4
Episode 295: Seed=915531; Reward = 278; Floor=7
Episode 296: Seed=394405; Reward = 236; Floor=5
Episode 297: Seed=207013; Reward = 66; Floor=2
Episode 298: Seed=644234; Reward = -41; Floor=1
Episode 299: Seed=703091; Reward = -41; Floor=1
Episode 300: Seed=315607; Reward = -41; Floor=1
Episode 301: Seed=335978; Reward = -41; Floor=1
Episode 302: Seed=500103; Reward = -38; Floor=1
Episode 303: Seed=805322; Reward = -32; Floor=1
Episode 304: Seed=864745; Reward = -41; Floor=1
Episode 305: Seed=131657; Reward = -41; Floor=1
Episode 306: Seed=504217; Reward = -41; Floor=1
Episode 307: Seed=354116; Reward = -34; Floor=1
Episode 308: Seed=127680; Reward = -34; Floor=1
Episode 309: Seed=918409; Reward = -18; Floor=1
Episode 310: Seed=624585; Reward = -9; Floor=1
Episode 311: Seed=751585; Reward = 428; Floor=11
Episode 312: Seed=667941; Reward = 275; Floor=6
Episode 313: Seed=941269; Reward = 113; Floor=3
Episode 314: Seed=615915; Reward = 66; Floor=2
Episode 315: Seed=136400; Reward = 236; Floor=6
Episode 316: Seed=584295; Reward = 305; Floor=7
Episode 317: Seed=735759; Reward = 103; Floor=3
Episode 318: Seed=506234; Reward = 297; Floor=7
Episode 319: Seed=391041; Reward = 96; Floor=3
Episode 320: Seed=765538; Reward = 148; Floor=4
Episode 321: Seed=424832; Reward = 281; Floor=6
Episode 322: Seed=459447; Reward = 523; Floor=11
Episode 323: Seed=518459; Reward = 215; Floor=5
Episode 324: Seed=175160; Reward = 124; Floor=3
Episode 325: Seed=118373; Reward = 129; Floor=3
Episode 326: Seed=95778; Reward = 664; Floor=14
Episode 327: Seed=628350; Reward = 392; Floor=9
Episode 328: Seed=341229; Reward = 228; Floor=5
Episode 329: Seed=909642; Reward = 105; Floor=3
Episode 330: Seed=383736; Reward = 117; Floor=3
Episode 331: Seed=557558; Reward = 84; Floor=3
Episode 332: Seed=695812; Reward = 120; Floor=4
Episode 333: Seed=457007; Reward = 36; Floor=1
Episode 334: Seed=700935; Reward = 30; Floor=1
Episode 335: Seed=387300; Reward = -14; Floor=1
Episode 336: Seed=825885; Reward = 164; Floor=4
Episode 337: Seed=644582; Reward = 106; Floor=3
Episode 338: Seed=766139; Reward = 175; Floor=5
Episode 339: Seed=361368; Reward = 296; Floor=7
Episode 340: Seed=363984; Reward = 250; Floor=6
Episode 341: Seed=898200; Reward = 118; Floor=3
Episode 342: Seed=764910; Reward = 98; Floor=3
Episode 343: Seed=745995; Reward = 146; Floor=4
Episode 344: Seed=631471; Reward = 78; Floor=2
Episode 345: Seed=726971; Reward = -1; Floor=1
Episode 346: Seed=319162; Reward = 377; Floor=8
Episode 347: Seed=264949; Reward = 36; Floor=1
Episode 348: Seed=623284; Reward = 67; Floor=2
Episode 349: Seed=266389; Reward = 321; Floor=8
Episode 350: Seed=160557; Reward = 243; Floor=6
Episode 351: Seed=201948; Reward = 160; Floor=4
Episode 352: Seed=991271; Reward = 123; Floor=3
Episode 353: Seed=329806; Reward = 136; Floor=3
Episode 354: Seed=517121; Reward = 79; Floor=2
Episode 355: Seed=301967; Reward = 473; Floor=11
Episode 356: Seed=493546; Reward = 200; Floor=5
Episode 357: Seed=617290; Reward = 100; Floor=3
Episode 358: Seed=385718; Reward = 456; Floor=11
Episode 359: Seed=112622; Reward = 145; Floor=4
Episode 360: Seed=843902; Reward = 558; Floor=11
Episode 361: Seed=205708; Reward = 115; Floor=3
Episode 362: Seed=357987; Reward = 142; Floor=4
Episode 363: Seed=426899; Reward = 146; Floor=4
Episode 364: Seed=743927; Reward = 320; Floor=7
Episode 365: Seed=932073; Reward = 647; Floor=14
Episode 366: Seed=895327; Reward = 33; Floor=1
Episode 367: Seed=143366; Reward = 82; Floor=2
Episode 368: Seed=251018; Reward = 222; Floor=5
Episode 369: Seed=473725; Reward = 27; Floor=1
Episode 370: Seed=435352; Reward = 168; Floor=4
Episode 371: Seed=489965; Reward = 115; Floor=3
Episode 372: Seed=124347; Reward = 221; Floor=5
Episode 373: Seed=864879; Reward = 119; Floor=3
Episode 374: Seed=956393; Reward = 70; Floor=2
Episode 375: Seed=474606; Reward = 283; Floor=6
Episode 376: Seed=313347; Reward = 226; Floor=5
Episode 377: Seed=848715; Reward = 90; Floor=3
Episode 378: Seed=750762; Reward = 105; Floor=3
Episode 379: Seed=475126; Reward = 335; Floor=8
