Episode 165: Seed=28964; Reward = 90; Floor=3
Episode 166: Seed=566973; Reward = 109; Floor=4
Episode 167: Seed=605338; Reward = 95; Floor=3
Episode 168: Seed=471460; Reward = 146; Floor=4
Episode 169: Seed=443826; Reward = -19; Floor=1
Episode 170: Seed=356885; Reward = 396; Floor=10
Episode 171: Seed=580068; Reward = 208; Floor=6
Episode 172: Seed=908190; Reward = 149; Floor=5
Episode 173: Seed=321367; Reward = 56; Floor=2
Episode 174: Seed=627536; Reward = 55; Floor=2
Episode 175: Seed=394299; Reward = 241; Floor=7
Episode 176: Seed=748052; Reward = 84; Floor=3
Episode 177: Seed=925261; Reward = 159; Floor=5
Episode 178: Seed=633189; Reward = 297; Floor=8
Episode 179: Seed=802971; Reward = 59; Floor=2
Episode 180: Seed=777683; Reward = 240; Floor=7
Episode 181: Seed=102341; Reward = 105; Floor=3
Episode 182: Seed=86702; Reward = 262; Floor=7
Episode 183: Seed=355012; Reward = 410; Floor=11
Episode 184: Seed=978861; Reward = 433; Floor=11
Episode 185: Seed=710286; Reward = 322; Floor=9
Episode 186: Seed=208512; Reward = 403; Floor=10
Episode 187: Seed=228016; Reward = 356; Floor=9
Episode 188: Seed=550855; Reward = 291; Floor=8
Episode 189: Seed=401479; Reward = 287; Floor=7
Episode 190: Seed=845962; Reward = 70; Floor=3
Episode 191: Seed=980550; Reward = 220; Floor=6
Episode 192: Seed=523313; Reward = -35; Floor=1
Episode 193: Seed=209223; Reward = -33; Floor=1
Episode 194: Seed=682295; Reward = 175; Floor=5
Episode 195: Seed=732679; Reward = 244; Floor=7
Episode 196: Seed=192460; Reward = 88; Floor=4
Episode 197: Seed=27129; Reward = 48; Floor=3
Episode 198: Seed=715904; Reward = 350; Floor=8
Episode 199: Seed=255383; Reward = 117; Floor=4
Episode 200: Seed=651410; Reward = 205; Floor=5
Episode 201: Seed=298883; Reward = 94; Floor=3
Episode 202: Seed=748051; Reward = 329; Floor=8
Episode 203: Seed=626665; Reward = 171; Floor=6
Episode 204: Seed=9972; Reward = 81; Floor=3
Episode 205: Seed=561442; Reward = 226; Floor=7
Episode 206: Seed=144989; Reward = 148; Floor=5
Episode 207: Seed=271497; Reward = 85; Floor=3
Episode 208: Seed=251627; Reward = 292; Floor=8
Episode 209: Seed=125207; Reward = 247; Floor=7
Episode 210: Seed=143950; Reward = 162; Floor=5
