Episode 167: Seed=966392; Reward = 129; Floor=3
Episode 168: Seed=234752; Reward = 287; Floor=6
Episode 169: Seed=464293; Reward = 50; Floor=2
Episode 170: Seed=532713; Reward = -28; Floor=1
Episode 171: Seed=855939; Reward = 30; Floor=1
Episode 172: Seed=6761; Reward = 75; Floor=4
Episode 173: Seed=744892; Reward = -39; Floor=1
Episode 174: Seed=322403; Reward = -46; Floor=1
Episode 175: Seed=672406; Reward = 10; Floor=2
Episode 176: Seed=637151; Reward = 208; Floor=5
Episode 177: Seed=812975; Reward = 349; Floor=8
Episode 178: Seed=55669; Reward = 113; Floor=3
Episode 179: Seed=492026; Reward = 31; Floor=2
Episode 180: Seed=622387; Reward = 155; Floor=4
Episode 181: Seed=525093; Reward = 164; Floor=4
Episode 182: Seed=825860; Reward = 64; Floor=2
Episode 183: Seed=175165; Reward = 111; Floor=3
Episode 184: Seed=117174; Reward = 280; Floor=7
Episode 185: Seed=283916; Reward = 217; Floor=5
Episode 186: Seed=729802; Reward = 294; Floor=7
Episode 187: Seed=994694; Reward = 65; Floor=2
Episode 188: Seed=659173; Reward = 65; Floor=2
Episode 189: Seed=638008; Reward = 142; Floor=3
Episode 190: Seed=213814; Reward = 59; Floor=2
Episode 191: Seed=274331; Reward = 38; Floor=1
Episode 192: Seed=52137; Reward = 237; Floor=5
Episode 193: Seed=26950; Reward = 151; Floor=4
Episode 194: Seed=321191; Reward = 124; Floor=3
Episode 195: Seed=283740; Reward = 509; Floor=11
Episode 196: Seed=478296; Reward = 148; Floor=4
Episode 197: Seed=733066; Reward = 85; Floor=2
Episode 198: Seed=141317; Reward = -16; Floor=1
Episode 199: Seed=124658; Reward = 52; Floor=2
Episode 200: Seed=761343; Reward = 22; Floor=2
Episode 201: Seed=52751; Reward = -23; Floor=1
Episode 202: Seed=546659; Reward = 36; Floor=1
Episode 203: Seed=760016; Reward = 65; Floor=3
Episode 204: Seed=735328; Reward = -34; Floor=1
Episode 205: Seed=200541; Reward = 141; Floor=4
Episode 206: Seed=347522; Reward = 90; Floor=4
Episode 207: Seed=74375; Reward = -28; Floor=1
Episode 208: Seed=858491; Reward = -29; Floor=1
Episode 209: Seed=715289; Reward = 10; Floor=2
Episode 210: Seed=881999; Reward = 57; Floor=3
Episode 211: Seed=969174; Reward = 48; Floor=3
Episode 212: Seed=666465; Reward = 17; Floor=2
Episode 213: Seed=950396; Reward = 28; Floor=2
Episode 214: Seed=520804; Reward = 60; Floor=2
Episode 215: Seed=971243; Reward = 161; Floor=5
Episode 216: Seed=191366; Reward = 55; Floor=3
Episode 217: Seed=980266; Reward = -35; Floor=1
Episode 218: Seed=632899; Reward = -13; Floor=1
Episode 219: Seed=713457; Reward = 237; Floor=6
Episode 220: Seed=618476; Reward = 30; Floor=1
Episode 221: Seed=684378; Reward = 89; Floor=2
Episode 222: Seed=342420; Reward = -19; Floor=1
Episode 223: Seed=938009; Reward = 145; Floor=4
Episode 224: Seed=88981; Reward = 145; Floor=4
Episode 225: Seed=151867; Reward = 133; Floor=3
